mixed: 0.4 Enque 0.4 Deque 0.2 IsEmpty Thread Number: 1 ~ 32, Operation Number: 2000, test times: 16, Time Unit: Nanosecond
ThreadNumber, LockedQueue, LockFreeQueue
1, 214180, 234867
2, 371368, 246090
3, 555788, 427894
4, 586495, 426725
5, 596926, 422005
6, 607567, 452491
7, 659111, 505895
8, 636945, 497715
9, 643058, 534779
10, 636720, 552635
11, 637181, 531818
12, 642620, 567180
13, 650484, 603646
14, 663934, 602974
15, 671828, 547361
16, 708880, 582713
17, 706970, 623901
18, 691019, 673546
19, 713070, 685447
20, 766739, 754459
21, 815753, 853842
22, 822125, 884579
23, 878274, 999289
24, 960464, 1.11412e+06
25, 1.06401e+06, 1.21337e+06
26, 1.23459e+06, 1.32948e+06
27, 1.3012e+06, 1.43032e+06
28, 1.51452e+06, 1.59578e+06
29, 1.57345e+06, 1.67668e+06
30, 1.71688e+06, 1.80227e+06
31, 1.84288e+06, 1.89355e+06
32, 1.91813e+06, 2.07627e+06

