write-dominated: 0.5 Enque 0.5 Deque 0 IsEmpty Thread Number: 1 ~ 32, Operation Number: 2000, test times: 16, Time Unit: Nanosecond
ThreadNumber, LockedQueue, LockFreeQueue
1, 226292, 198464
2, 455824, 223191
3, 473666, 256019
4, 503369, 288546
5, 494826, 280610
6, 533851, 299210
7, 530264, 312427
8, 530846, 319184
9, 536024, 331760
10, 540060, 315521
11, 539047, 312437
12, 527878, 328064
13, 560577, 315811
14, 542664, 300019
15, 556889, 355010
16, 538840, 338384
17, 584203, 352375
18, 575356, 343825
19, 577607, 355953
20, 650100, 405126
21, 645220, 424088
22, 648128, 463846
23, 685426, 465960
24, 702526, 506876
25, 716881, 504561
26, 746409, 588754
27, 753713, 568226
28, 778609, 636152
29, 804936, 670695
30, 814753, 692694
31, 866974, 727384
32, 891068, 767212

